Id,Dataset,Filepath,Filename,Ext,Speaker,Text,Gender,Age,Race,Accent,Intensity/Level,Sentiment,Emotion
53,CREMA-D,./dataset/crema-d\AudioWAV\1001_MTI_DIS_XX.wav,1001_MTI_DIS_XX.wav,.wav,Crema_1001,Maybe tomorrow it will be cold,Male,51,Caucasian,Not Hispanic,Unspecified,,Disgust
54,CREMA-D,./dataset/crema-d\AudioWAV\1001_MTI_FEA_XX.wav,1001_MTI_FEA_XX.wav,.wav,Crema_1001,Maybe tomorrow it will be cold,Male,51,Caucasian,Not Hispanic,Unspecified,,Fear
55,CREMA-D,./dataset/crema-d\AudioWAV\1001_MTI_HAP_XX.wav,1001_MTI_HAP_XX.wav,.wav,Crema_1001,Maybe tomorrow it will be cold,Male,51,Caucasian,Not Hispanic,Unspecified,,Happy
56,CREMA-D,./dataset/crema-d\AudioWAV\1001_MTI_NEU_XX.wav,1001_MTI_NEU_XX.wav,.wav,Crema_1001,Maybe tomorrow it will be cold,Male,51,Caucasian,Not Hispanic,Unspecified,,Neutral
57,CREMA-D,./dataset/crema-d\AudioWAV\1001_MTI_SAD_XX.wav,1001_MTI_SAD_XX.wav,.wav,Crema_1001,Maybe tomorrow it will be cold,Male,51,Caucasian,Not Hispanic,Unspecified,,Sad
58,CREMA-D,./dataset/crema-d\AudioWAV\1001_TAI_ANG_XX.wav,1001_TAI_ANG_XX.wav,.wav,Crema_1001,The airplane is almost full,Male,51,Caucasian,Not Hispanic,Unspecified,,Anger
59,CREMA-D,./dataset/crema-d\AudioWAV\1001_TAI_DIS_XX.wav,1001_TAI_DIS_XX.wav,.wav,Crema_1001,The airplane is almost full,Male,51,Caucasian,Not Hispanic,Unspecified,,Disgust
60,CREMA-D,./dataset/crema-d\AudioWAV\1001_TAI_FEA_XX.wav,1001_TAI_FEA_XX.wav,.wav,Crema_1001,The airplane is almost full,Male,51,Caucasian,Not Hispanic,Unspecified,,Fear
61,CREMA-D,./dataset/crema-d\AudioWAV\1001_TAI_HAP_XX.wav,1001_TAI_HAP_XX.wav,.wav,Crema_1001,The airplane is almost full,Male,51,Caucasian,Not Hispanic,Unspecified,,Happy
62,CREMA-D,./dataset/crema-d\AudioWAV\1001_TAI_NEU_XX.wav,1001_TAI_NEU_XX.wav,.wav,Crema_1001,The airplane is almost full,Male,51,Caucasian,Not Hispanic,Unspecified,,Neutral
63,CREMA-D,./dataset/crema-d\AudioWAV\1001_TAI_SAD_XX.wav,1001_TAI_SAD_XX.wav,.wav,Crema_1001,The airplane is almost full,Male,51,Caucasian,Not Hispanic,Unspecified,,Sad
64,CREMA-D,./dataset/crema-d\AudioWAV\1001_TIE_ANG_XX.wav,1001_TIE_ANG_XX.wav,.wav,Crema_1001,That is exactly what happened,Male,51,Caucasian,Not Hispanic,Unspecified,,Anger
65,CREMA-D,./dataset/crema-d\AudioWAV\1001_TIE_DIS_XX.wav,1001_TIE_DIS_XX.wav,.wav,Crema_1001,That is exactly what happened,Male,51,Caucasian,Not Hispanic,Unspecified,,Disgust
66,CREMA-D,./dataset/crema-d\AudioWAV\1001_TIE_FEA_XX.wav,1001_TIE_FEA_XX.wav,.wav,Crema_1001,That is exactly what happened,Male,51,Caucasian,Not Hispanic,Unspecified,,Fear
67,CREMA-D,./dataset/crema-d\AudioWAV\1001_TIE_HAP_XX.wav,1001_TIE_HAP_XX.wav,.wav,Crema_1001,That is exactly what happened,Male,51,Caucasian,Not Hispanic,Unspecified,,Happy
68,CREMA-D,./dataset/crema-d\AudioWAV\1001_TIE_NEU_XX.wav,1001_TIE_NEU_XX.wav,.wav,Crema_1001,That is exactly what happened,Male,51,Caucasian,Not Hispanic,Unspecified,,Neutral
69,CREMA-D,./dataset/crema-d\AudioWAV\1001_TIE_SAD_XX.wav,1001_TIE_SAD_XX.wav,.wav,Crema_1001,That is exactly what happened,Male,51,Caucasian,Not Hispanic,Unspecified,,Sad
70,CREMA-D,./dataset/crema-d\AudioWAV\1001_TSI_ANG_XX.wav,1001_TSI_ANG_XX.wav,.wav,Crema_1001,The surface is slick,Male,51,Caucasian,Not Hispanic,Unspecified,,Anger
71,CREMA-D,./dataset/crema-d\AudioWAV\1001_TSI_DIS_XX.wav,1001_TSI_DIS_XX.wav,.wav,Crema_1001,The surface is slick,Male,51,Caucasian,Not Hispanic,Unspecified,,Disgust
72,CREMA-D,./dataset/crema-d\AudioWAV\1001_TSI_FEA_XX.wav,1001_TSI_FEA_XX.wav,.wav,Crema_1001,The surface is slick,Male,51,Caucasian,Not Hispanic,Unspecified,,Fear
73,CREMA-D,./dataset/crema-d\AudioWAV\1001_TSI_HAP_XX.wav,1001_TSI_HAP_XX.wav,.wav,Crema_1001,The surface is slick,Male,51,Caucasian,Not Hispanic,Unspecified,,Happy
74,CREMA-D,./dataset/crema-d\AudioWAV\1001_TSI_NEU_XX.wav,1001_TSI_NEU_XX.wav,.wav,Crema_1001,The surface is slick,Male,51,Caucasian,Not Hispanic,Unspecified,,Neutral
75,CREMA-D,./dataset/crema-d\AudioWAV\1001_TSI_SAD_XX.wav,1001_TSI_SAD_XX.wav,.wav,Crema_1001,The surface is slick,Male,51,Caucasian,Not Hispanic,Unspecified,,Sad
76,CREMA-D,./dataset/crema-d\AudioWAV\1001_WSI_ANG_XX.wav,1001_WSI_ANG_XX.wav,.wav,Crema_1001,We'll stop in a couple of minutes,Male,51,Caucasian,Not Hispanic,Unspecified,,Anger
77,CREMA-D,./dataset/crema-d\AudioWAV\1001_WSI_DIS_XX.wav,1001_WSI_DIS_XX.wav,.wav,Crema_1001,We'll stop in a couple of minutes,Male,51,Caucasian,Not Hispanic,Unspecified,,Disgust
78,CREMA-D,./dataset/crema-d\AudioWAV\1001_WSI_FEA_XX.wav,1001_WSI_FEA_XX.wav,.wav,Crema_1001,We'll stop in a couple of minutes,Male,51,Caucasian,Not Hispanic,Unspecified,,Fear
79,CREMA-D,./dataset/crema-d\AudioWAV\1001_WSI_HAP_XX.wav,1001_WSI_HAP_XX.wav,.wav,Crema_1001,We'll stop in a couple of minutes,Male,51,Caucasian,Not Hispanic,Unspecified,,Happy
80,CREMA-D,./dataset/crema-d\AudioWAV\1001_WSI_NEU_XX.wav,1001_WSI_NEU_XX.wav,.wav,Crema_1001,We'll stop in a couple of minutes,Male,51,Caucasian,Not Hispanic,Unspecified,,Neutral
81,CREMA-D,./dataset/crema-d\AudioWAV\1001_WSI_SAD_XX.wav,1001_WSI_SAD_XX.wav,.wav,Crema_1001,We'll stop in a couple of minutes,Male,51,Caucasian,Not Hispanic,Unspecified,,Sad
82,CREMA-D,./dataset/crema-d\AudioWAV\1002_DFA_ANG_XX.wav,1002_DFA_ANG_XX.wav,.wav,Crema_1002,Don't forget a jacket,Female,21,Caucasian,Not Hispanic,Unspecified,,Anger
83,CREMA-D,./dataset/crema-d\AudioWAV\1002_DFA_DIS_XX.wav,1002_DFA_DIS_XX.wav,.wav,Crema_1002,Don't forget a jacket,Female,21,Caucasian,Not Hispanic,Unspecified,,Disgust
84,CREMA-D,./dataset/crema-d\AudioWAV\1002_DFA_FEA_XX.wav,1002_DFA_FEA_XX.wav,.wav,Crema_1002,Don't forget a jacket,Female,21,Caucasian,Not Hispanic,Unspecified,,Fear
85,CREMA-D,./dataset/crema-d\AudioWAV\1002_DFA_HAP_XX.wav,1002_DFA_HAP_XX.wav,.wav,Crema_1002,Don't forget a jacket,Female,21,Caucasian,Not Hispanic,Unspecified,,Happy
86,CREMA-D,./dataset/crema-d\AudioWAV\1002_DFA_NEU_XX.wav,1002_DFA_NEU_XX.wav,.wav,Crema_1002,Don't forget a jacket,Female,21,Caucasian,Not Hispanic,Unspecified,,Neutral
87,CREMA-D,./dataset/crema-d\AudioWAV\1002_DFA_SAD_XX.wav,1002_DFA_SAD_XX.wav,.wav,Crema_1002,Don't forget a jacket,Female,21,Caucasian,Not Hispanic,Unspecified,,Sad
88,CREMA-D,./dataset/crema-d\AudioWAV\1002_IEO_ANG_HI.wav,1002_IEO_ANG_HI.wav,.wav,Crema_1002,It's eleven o'clock,Female,21,Caucasian,Not Hispanic,High,,Anger
89,CREMA-D,./dataset/crema-d\AudioWAV\1002_IEO_ANG_LO.wav,1002_IEO_ANG_LO.wav,.wav,Crema_1002,It's eleven o'clock,Female,21,Caucasian,Not Hispanic,Low,,Anger
90,CREMA-D,./dataset/crema-d\AudioWAV\1002_IEO_ANG_MD.wav,1002_IEO_ANG_MD.wav,.wav,Crema_1002,It's eleven o'clock,Female,21,Caucasian,Not Hispanic,Medium,,Anger
91,CREMA-D,./dataset/crema-d\AudioWAV\1002_IEO_DIS_HI.wav,1002_IEO_DIS_HI.wav,.wav,Crema_1002,It's eleven o'clock,Female,21,Caucasian,Not Hispanic,High,,Disgust
92,CREMA-D,./dataset/crema-d\AudioWAV\1002_IEO_DIS_LO.wav,1002_IEO_DIS_LO.wav,.wav,Crema_1002,It's eleven o'clock,Female,21,Caucasian,Not Hispanic,Low,,Disgust
93,CREMA-D,./dataset/crema-d\AudioWAV\1002_IEO_DIS_MD.wav,1002_IEO_DIS_MD.wav,.wav,Crema_1002,It's eleven o'clock,Female,21,Caucasian,Not Hispanic,Medium,,Disgust
94,CREMA-D,./dataset/crema-d\AudioWAV\1002_IEO_FEA_HI.wav,1002_IEO_FEA_HI.wav,.wav,Crema_1002,It's eleven o'clock,Female,21,Caucasian,Not Hispanic,High,,Fear
95,CREMA-D,./dataset/crema-d\AudioWAV\1002_IEO_FEA_LO.wav,1002_IEO_FEA_LO.wav,.wav,Crema_1002,It's eleven o'clock,Female,21,Caucasian,Not Hispanic,Low,,Fear
96,CREMA-D,./dataset/crema-d\AudioWAV\1002_IEO_FEA_MD.wav,1002_IEO_FEA_MD.wav,.wav,Crema_1002,It's eleven o'clock,Female,21,Caucasian,Not Hispanic,Medium,,Fear
97,CREMA-D,./dataset/crema-d\AudioWAV\1002_IEO_HAP_HI.wav,1002_IEO_HAP_HI.wav,.wav,Crema_1002,It's eleven o'clock,Female,21,Caucasian,Not Hispanic,High,,Happy
98,CREMA-D,./dataset/crema-d\AudioWAV\1002_IEO_HAP_LO.wav,1002_IEO_HAP_LO.wav,.wav,Crema_1002,It's eleven o'clock,Female,21,Caucasian,Not Hispanic,Low,,Happy
99,CREMA-D,./dataset/crema-d\AudioWAV\1002_IEO_HAP_MD.wav,1002_IEO_HAP_MD.wav,.wav,Crema_1002,It's eleven o'clock,Female,21,Caucasian,Not Hispanic,Medium,,Happy
100,CREMA-D,./dataset/crema-d\AudioWAV\1002_IEO_NEU_XX.wav,1002_IEO_NEU_XX.wav,.wav,Crema_1002,It's eleven o'clock,Female,21,Caucasian,Not Hispanic,Unspecified,,Neutral
101,CREMA-D,./dataset/crema-d\AudioWAV\1002_IEO_SAD_HI.wav,1002_IEO_SAD_HI.wav,.wav,Crema_1002,It's eleven o'clock,Female,21,Caucasian,Not Hispanic,High,,Sad
102,CREMA-D,./dataset/crema-d\AudioWAV\1002_IEO_SAD_LO.wav,1002_IEO_SAD_LO.wav,.wav,Crema_1002,It's eleven o'clock,Female,21,Caucasian,Not Hispanic,Low,,Sad
103,CREMA-D,./dataset/crema-d\AudioWAV\1002_IEO_SAD_MD.wav,1002_IEO_SAD_MD.wav,.wav,Crema_1002,It's eleven o'clock,Female,21,Caucasian,Not Hispanic,Medium,,Sad
104,CREMA-D,./dataset/crema-d\AudioWAV\1002_IOM_ANG_XX.wav,1002_IOM_ANG_XX.wav,.wav,Crema_1002,I'm on my way to the meeting,Female,21,Caucasian,Not Hispanic,Unspecified,,Anger
105,CREMA-D,./dataset/crema-d\AudioWAV\1002_IOM_DIS_XX.wav,1002_IOM_DIS_XX.wav,.wav,Crema_1002,I'm on my way to the meeting,Female,21,Caucasian,Not Hispanic,Unspecified,,Disgust
106,CREMA-D,./dataset/crema-d\AudioWAV\1002_IOM_FEA_XX.wav,1002_IOM_FEA_XX.wav,.wav,Crema_1002,I'm on my way to the meeting,Female,21,Caucasian,Not Hispanic,Unspecified,,Fear
107,CREMA-D,./dataset/crema-d\AudioWAV\1002_IOM_HAP_XX.wav,1002_IOM_HAP_XX.wav,.wav,Crema_1002,I'm on my way to the meeting,Female,21,Caucasian,Not Hispanic,Unspecified,,Happy
108,CREMA-D,./dataset/crema-d\AudioWAV\1002_IOM_NEU_XX.wav,1002_IOM_NEU_XX.wav,.wav,Crema_1002,I'm on my way to the meeting,Female,21,Caucasian,Not Hispanic,Unspecified,,Neutral
109,CREMA-D,./dataset/crema-d\AudioWAV\1002_IOM_SAD_XX.wav,1002_IOM_SAD_XX.wav,.wav,Crema_1002,I'm on my way to the meeting,Female,21,Caucasian,Not Hispanic,Unspecified,,Sad
110,CREMA-D,./dataset/crema-d\AudioWAV\1002_ITH_ANG_XX.wav,1002_ITH_ANG_XX.wav,.wav,Crema_1002,I think I have a doctor's appointment,Female,21,Caucasian,Not Hispanic,Unspecified,,Anger
111,CREMA-D,./dataset/crema-d\AudioWAV\1002_ITH_DIS_XX.wav,1002_ITH_DIS_XX.wav,.wav,Crema_1002,I think I have a doctor's appointment,Female,21,Caucasian,Not Hispanic,Unspecified,,Disgust
112,CREMA-D,./dataset/crema-d\AudioWAV\1002_ITH_FEA_XX.wav,1002_ITH_FEA_XX.wav,.wav,Crema_1002,I think I have a doctor's appointment,Female,21,Caucasian,Not Hispanic,Unspecified,,Fear
113,CREMA-D,./dataset/crema-d\AudioWAV\1002_ITH_HAP_XX.wav,1002_ITH_HAP_XX.wav,.wav,Crema_1002,I think I have a doctor's appointment,Female,21,Caucasian,Not Hispanic,Unspecified,,Happy
114,CREMA-D,./dataset/crema-d\AudioWAV\1002_ITH_NEU_XX.wav,1002_ITH_NEU_XX.wav,.wav,Crema_1002,I think I have a doctor's appointment,Female,21,Caucasian,Not Hispanic,Unspecified,,Neutral
115,CREMA-D,./dataset/crema-d\AudioWAV\1002_ITH_SAD_XX.wav,1002_ITH_SAD_XX.wav,.wav,Crema_1002,I think I have a doctor's appointment,Female,21,Caucasian,Not Hispanic,Unspecified,,Sad
116,CREMA-D,./dataset/crema-d\AudioWAV\1002_ITS_ANG_XX.wav,1002_ITS_ANG_XX.wav,.wav,Crema_1002,I think I've seen this before,Female,21,Caucasian,Not Hispanic,Unspecified,,Anger
117,CREMA-D,./dataset/crema-d\AudioWAV\1002_ITS_DIS_XX.wav,1002_ITS_DIS_XX.wav,.wav,Crema_1002,I think I've seen this before,Female,21,Caucasian,Not Hispanic,Unspecified,,Disgust
118,CREMA-D,./dataset/crema-d\AudioWAV\1002_ITS_FEA_XX.wav,1002_ITS_FEA_XX.wav,.wav,Crema_1002,I think I've seen this before,Female,21,Caucasian,Not Hispanic,Unspecified,,Fear
119,CREMA-D,./dataset/crema-d\AudioWAV\1002_ITS_HAP_XX.wav,1002_ITS_HAP_XX.wav,.wav,Crema_1002,I think I've seen this before,Female,21,Caucasian,Not Hispanic,Unspecified,,Happy
120,CREMA-D,./dataset/crema-d\AudioWAV\1002_ITS_NEU_XX.wav,1002_ITS_NEU_XX.wav,.wav,Crema_1002,I think I've seen this before,Female,21,Caucasian,Not Hispanic,Unspecified,,Neutral
121,CREMA-D,./dataset/crema-d\AudioWAV\1002_ITS_SAD_XX.wav,1002_ITS_SAD_XX.wav,.wav,Crema_1002,I think I've seen this before,Female,21,Caucasian,Not Hispanic,Unspecified,,Sad
122,CREMA-D,./dataset/crema-d\AudioWAV\1002_IWL_ANG_XX.wav,1002_IWL_ANG_XX.wav,.wav,Crema_1002,I would like a new alarm clock,Female,21,Caucasian,Not Hispanic,Unspecified,,Anger
123,CREMA-D,./dataset/crema-d\AudioWAV\1002_IWL_DIS_XX.wav,1002_IWL_DIS_XX.wav,.wav,Crema_1002,I would like a new alarm clock,Female,21,Caucasian,Not Hispanic,Unspecified,,Disgust
